"ID","level","category","prob"
"G01","Location","Joint",0.110247495
"G02","Location","Joint",0.00102123
"G03","Location","Joint",0.04466397
"G04","Location","Joint",0.0028105
"G05","Location","Joint",0.0001216475
"G06","Location","Joint",0.04474237
"G07","Location","Joint",0.06488205
"G08","Location","Joint",0.018674655
"G09","Location","Joint",0.154700185
"G10","Location","Joint",0.003750725
"G11","Location","Joint",0.006309245
"G12","Location","Joint",0.0053341625
"G13","Location","Joint",0.027215925
"G14","Location","Joint",0.001887495
"G15","Location","Joint",0.0286196225
"G16","Location","Joint",0.0044003925
"G17","Location","Joint",3.808e-05
"G18","Location","Joint",0.001366655
"G19","Location","Joint",0.0177112
"G20","Location","Joint",0.18793656
"G21","Location","Joint",0.011771515
"G22","Location","Joint",0.00150304
"G23","Location","Joint",0.0241473875
"G24","Location","Joint",0.0023453625
"G25","Location","Joint",0.009422205
"G26","Location","Joint",0.00021925
"G27","Location","Joint",0.062101035
"G28","Location","Joint",0.003854125
"G29","Location","Joint",0.0008194725
"G30","Location","Joint",0.0900618
"G31","Location","Joint",0.056217875
"G32","Location","Joint",0.11165759
"G33","Location","Joint",0.055200915
"G34","Location","Joint",0.0813368925
"G35","Location","Joint",0.1174782375
"G36","Location","Joint",0.280136835
"G37","Location","Joint",0.019401375
"G38","Location","Joint",0.0725150025
"G39","Location","Joint",0.035131745
"G01","Location","Performance",0.54605
"G02","Location","Performance",0.0063
"G03","Location","Performance",0.1846
"G04","Location","Performance",0.014
"G05","Location","Performance",0.00095
"G06","Location","Performance",0.2122
"G07","Location","Performance",0.2235
"G08","Location","Performance",0.06145
"G09","Location","Performance",0.66595
"G10","Location","Performance",0.02965
"G11","Location","Performance",0.0661
"G12","Location","Performance",0.05485
"G13","Location","Performance",0.09075
"G14","Location","Performance",0.0069
"G15","Location","Performance",0.11065
"G16","Location","Performance",0.07035
"G17","Location","Performance",7e-04
"G18","Location","Performance",0.03085
"G19","Location","Performance",0.08515
"G20","Location","Performance",0.79905
"G21","Location","Performance",0.05635
"G22","Location","Performance",0.0154
"G23","Location","Performance",0.05065
"G24","Location","Performance",0.00975
"G25","Location","Performance",0.0633
"G26","Location","Performance",0.0025
"G27","Location","Performance",0.2069
"G28","Location","Performance",0.01375
"G29","Location","Performance",0.00605
"G30","Location","Performance",0.30675
"G31","Location","Performance",0.8225
"G32","Location","Performance",0.41945
"G33","Location","Performance",0.29535
"G34","Location","Performance",0.18765
"G35","Location","Performance",0.30895
"G36","Location","Performance",0.94545
"G37","Location","Performance",0.16625
"G38","Location","Performance",0.59905
"G39","Location","Performance",0.26395
"G01","Location","Stability",0.2019
"G02","Location","Stability",0.1621
"G03","Location","Stability",0.24195
"G04","Location","Stability",0.20075
"G05","Location","Stability",0.12805
"G06","Location","Stability",0.21085
"G07","Location","Stability",0.2903
"G08","Location","Stability",0.3039
"G09","Location","Stability",0.2323
"G10","Location","Stability",0.1265
"G11","Location","Stability",0.09545
"G12","Location","Stability",0.09725
"G13","Location","Stability",0.2999
"G14","Location","Stability",0.27355
"G15","Location","Stability",0.25865
"G16","Location","Stability",0.06255
"G17","Location","Stability",0.0544
"G18","Location","Stability",0.0443
"G19","Location","Stability",0.208
"G20","Location","Stability",0.2352
"G21","Location","Stability",0.2089
"G22","Location","Stability",0.0976
"G23","Location","Stability",0.47675
"G24","Location","Stability",0.24055
"G25","Location","Stability",0.14885
"G26","Location","Stability",0.0877
"G27","Location","Stability",0.30015
"G28","Location","Stability",0.2803
"G29","Location","Stability",0.13545
"G30","Location","Stability",0.2936
"G31","Location","Stability",0.06835
"G32","Location","Stability",0.2662
"G33","Location","Stability",0.1869
"G34","Location","Stability",0.43345
"G35","Location","Stability",0.38025
"G36","Location","Stability",0.2963
"G37","Location","Stability",0.1167
"G38","Location","Stability",0.12105
"G39","Location","Stability",0.1331
"G01","Region","Joint",0.126738205
