"x","prob","y"
"G01",0.9736,"G02"
"G01",0.77295,"G03"
"G01",0.9559,"G04"
"G01",0.9912,"G05"
"G01",0.7429,"G06"
"G01",0.7417,"G07"
"G01",0.8857,"G08"
"G01",0.39915,"G09"
"G01",0.9357,"G10"
"G01",0.88115,"G11"
"G01",0.8898,"G12"
"G01",0.84165,"G13"
"G01",0.96605,"G14"
"G01",0.82505,"G15"
"G01",0.87965,"G16"
"G01",0.9955,"G17"
"G01",0.9259,"G18"
"G01",0.863,"G19"
"G01",0.29375,"G20"
"G01",0.8824,"G21"
"G01",0.94565,"G22"
"G01",0.8942,"G23"
"G01",0.96405,"G24"
"G01",0.879,"G25"
"G01",0.9847,"G26"
"G01",0.746,"G27"
"G01",0.95295,"G28"
"G01",0.97235,"G29"
"G01",0.66025,"G30"
"G01",0.2696,"G31"
"G01",0.5897,"G32"
"G01",0.68275,"G33"
"G01",0.7583,"G34"
"G01",0.67265,"G35"
"G01",0.1147,"G36"
"G01",0.7887,"G37"
"G01",0.45835,"G38"
"G01",0.71585,"G39"
"G02",0.11435,"G03"
"G02",0.4103,"G04"
"G02",0.7314,"G05"
"G02",0.10115,"G06"
"G02",0.10105,"G07"
"G02",0.23015,"G08"
"G02",0.0204,"G09"
"G02",0.3381,"G10"
"G02",0.23195,"G11"
"G02",0.2482,"G12"
"G02",0.14635,"G13"
"G02",0.4115,"G14"
"G02",0.13455,"G15"
"G02",0.21875,"G16"
"G02",0.81155,"G17"
"G02",0.30435,"G18"
"G02",0.19215,"G19"
"G02",0.01015,"G20"
"G02",0.1904,"G21"
"G02",0.32465,"G22"
"G02",0.1961,"G23"
"G02",0.40035,"G24"
"G02",0.1841,"G25"
"G02",0.56175,"G26"
"G02",0.0842,"G27"
"G02",0.3587,"G28"
"G02",0.4468,"G29"
"G02",0.05645,"G30"
"G02",0.0094,"G31"
"G02",0.0396,"G32"
"G02",0.06125,"G33"
"G02",0.0902,"G34"
"G02",0.0581,"G35"
"G02",0.00325,"G36"
"G02",0.1337,"G37"
"G02",0.02815,"G38"
"G02",0.0931,"G39"
"G03",0.83415,"G04"
"G03",0.96195,"G05"
"G03",0.4729,"G06"
"G03",0.4598,"G07"
"G03",0.68695,"G08"
"G03",0.1846,"G09"
"G03",0.77935,"G10"
"G03",0.68275,"G11"
"G03",0.69755,"G12"
"G03",0.59275,"G13"
"G03",0.85365,"G14"
"G03",0.56595,"G15"
"G03",0.66895,"G16"
"G03",0.9775,"G17"
"G03",0.76515,"G18"
"G03",0.63635,"G19"
"G03",0.1139,"G20"
"G03",0.66275,"G21"
"G03",0.79525,"G22"
"G03",0.67895,"G23"
"G03",0.8457,"G24"
"G03",0.6393,"G25"
"G03",0.91585,"G26"
"G03",0.45925,"G27"
"G03",0.81235,"G28"
"G03",0.8742,"G29"
"G03",0.3637,"G30"
"G03",0.1,"G31"
"G03",0.3069,"G32"
"G03",0.3885,"G33"
"G03",0.4752,"G34"
"G03",0.3686,"G35"
"G03",0.04075,"G36"
"G03",0.525,"G37"
"G03",0.2172,"G38"
"G03",0.43375,"G39"
"G04",0.79615,"G05"
"G04",0.1483,"G06"
"G04",0.13985,"G07"
"G04",0.3205,"G08"
"G04",0.04,"G09"
"G04",0.42725,"G10"
"G04",0.31215,"G11"
"G04",0.32155,"G12"
"G04",0.2247,"G13"
"G04",0.504,"G14"
"G04",0.18875,"G15"
"G04",0.29055,"G16"
"G04",0.852,"G17"
"G04",0.39,"G18"
"G04",0.2618,"G19"
"G04",0.0174,"G20"
"G04",0.26615,"G21"
"G04",0.42525,"G22"
"G04",0.28895,"G23"
"G04",0.4998,"G24"
"G04",0.25745,"G25"
"G04",0.6473,"G26"
"G04",0.1308,"G27"
"G04",0.454,"G28"
"G04",0.54915,"G29"
"G04",0.08505,"G30"
"G04",0.01445,"G31"
"G04",0.06265,"G32"
"G04",0.0938,"G33"
"G04",0.13745,"G34"
"G04",0.0905,"G35"
"G04",0.0052,"G36"
"G04",0.19075,"G37"
"G04",0.046,"G38"
"G04",0.13025,"G39"
"G05",0.03865,"G06"
"G05",0.032,"G07"
"G05",0.0951,"G08"
"G05",0.00555,"G09"
"G05",0.15525,"G10"
"G05",0.09675,"G11"
"G05",0.10655,"G12"
"G05",0.04665,"G13"
"G05",0.2012,"G14"
"G05",0.0432,"G15"
"G05",0.0876,"G16"
"G05",0.606,"G17"
"G05",0.1334,"G18"
"G05",0.07285,"G19"
"G05",0.00345,"G20"
"G05",0.06635,"G21"
"G05",0.1315,"G22"
"G05",0.07775,"G23"
"G05",0.18705,"G24"
"G05",0.06285,"G25"
"G05",0.3065,"G26"
"G05",0.02535,"G27"
"G05",0.15045,"G28"
"G05",0.215,"G29"
"G05",0.01485,"G30"
"G05",0.0028,"G31"
"G05",0.0119,"G32"
"G05",0.0159,"G33"
"G05",0.02585,"G34"
"G05",0.0168,"G35"
"G05",0.0013,"G36"
"G05",0.0506,"G37"
"G05",0.0086,"G38"
"G05",0.02945,"G39"
"G06",0.4918,"G07"
"G06",0.70855,"G08"
"G06",0.2008,"G09"
"G06",0.79935,"G10"
"G06",0.7067,"G11"
"G06",0.72195,"G12"
"G06",0.6263,"G13"
"G06",0.85535,"G14"
"G06",0.6006,"G15"
"G06",0.69775,"G16"
"G06",0.971,"G17"
"G06",0.7851,"G18"
"G06",0.65845,"G19"
"G06",0.128,"G20"
"G06",0.6851,"G21"
"G06",0.8202,"G22"
"G06",0.7033,"G23"
"G06",0.8613,"G24"
"G06",0.66805,"G25"
"G06",0.9314,"G26"
"G06",0.4795,"G27"
"G06",0.8328,"G28"
"G06",0.8859,"G29"
"G06",0.3913,"G30"
"G06",0.11005,"G31"
"G06",0.3257,"G32"
"G06",0.41005,"G33"
"G06",0.4917,"G34"
"G06",0.39985,"G35"
"G06",0.0439,"G36"
"G06",0.5522,"G37"
"G06",0.2356,"G38"
"G06",0.466,"G39"
"G07",0.717,"G08"
"G07",0.20655,"G09"
"G07",0.80575,"G10"
"G07",0.7137,"G11"
"G07",0.72515,"G12"
"G07",0.6281,"G13"
"G07",0.8712,"G14"
"G07",0.60065,"G15"
"G07",0.69935,"G16"
"G07",0.98235,"G17"
"G07",0.79345,"G18"
"G07",0.67195,"G19"
"G07",0.12835,"G20"
"G07",0.7015,"G21"
"G07",0.8243,"G22"
"G07",0.7097,"G23"
"G07",0.86565,"G24"
"G07",0.67635,"G25"
"G07",0.9302,"G26"
"G07",0.4981,"G27"
"G07",0.83985,"G28"
"G07",0.89595,"G29"
"G07",0.39545,"G30"
"G07",0.1188,"G31"
"G07",0.34165,"G32"
"G07",0.42955,"G33"
"G07",0.51345,"G34"
"G07",0.4087,"G35"
"G07",0.04645,"G36"
"G07",0.55935,"G37"
"G07",0.2393,"G38"
"G07",0.47175,"G39"
"G08",0.08705,"G09"
"G08",0.6246,"G10"
"G08",0.49675,"G11"
"G08",0.50805,"G12"
"G08",0.39635,"G13"
"G08",0.703,"G14"
"G08",0.36445,"G15"
"G08",0.47555,"G16"
"G08",0.93,"G17"
"G08",0.5862,"G18"
"G08",0.43785,"G19"
"G08",0.04745,"G20"
"G08",0.45375,"G21"
"G08",0.6224,"G22"
"G08",0.4774,"G23"
"G08",0.6985,"G24"
"G08",0.44545,"G25"
"G08",0.8175,"G26"
"G08",0.26405,"G27"
"G08",0.657,"G28"
"G08",0.7393,"G29"
"G08",0.2025,"G30"
"G08",0.0444,"G31"
"G08",0.1557,"G32"
"G08",0.2107,"G33"
"G08",0.2782,"G34"
"G08",0.2051,"G35"
"G08",0.01515,"G36"
"G08",0.34185,"G37"
"G08",0.10805,"G38"
"G08",0.26505,"G39"
"G09",0.9484,"G10"
"G09",0.9107,"G11"
"G09",0.9191,"G12"
"G09",0.87805,"G13"
"G09",0.9728,"G14"
"G09",0.864,"G15"
"G09",0.908,"G16"
"G09",0.9963,"G17"
"G09",0.93825,"G18"
"G09",0.88685,"G19"
"G09",0.3884,"G20"
"G09",0.91475,"G21"
"G09",0.95095,"G22"
"G09",0.9146,"G23"
"G09",0.96585,"G24"
"G09",0.90105,"G25"
"G09",0.9871,"G26"
"G09",0.7979,"G27"
"G09",0.95775,"G28"
"G09",0.97885,"G29"
"G09",0.7325,"G30"
"G09",0.359,"G31"
"G09",0.668,"G32"
"G09",0.74835,"G33"
"G09",0.80845,"G34"
"G09",0.73945,"G35"
"G09",0.19555,"G36"
"G09",0.83695,"G37"
"G09",0.55195,"G38"
"G09",0.76955,"G39"
"G10",0.37815,"G11"
"G10",0.38905,"G12"
"G10",0.2837,"G13"
"G10",0.58565,"G14"
"G10",0.25225,"G15"
"G10",0.3588,"G16"
"G10",0.89255,"G17"
"G10",0.4677,"G18"
"G10",0.33085,"G19"
"G10",0.028,"G20"
"G10",0.3362,"G21"
"G10",0.50625,"G22"
"G10",0.3562,"G23"
"G10",0.58105,"G24"
"G10",0.32115,"G25"
"G10",0.7198,"G26"
"G10",0.1766,"G27"
"G10",0.533,"G28"
"G10",0.6246,"G29"
"G10",0.12665,"G30"
"G10",0.02305,"G31"
"G10",0.0967,"G32"
"G10",0.13345,"G33"
"G10",0.186,"G34"
"G10",0.12745,"G35"
"G10",0.00755,"G36"
"G10",0.25085,"G37"
"G10",0.0661,"G38"
"G10",0.1793,"G39"
"G11",0.5094,"G12"
"G11",0.40105,"G13"
"G11",0.69425,"G14"
"G11",0.36765,"G15"
"G11",0.48195,"G16"
"G11",0.93035,"G17"
"G11",0.59065,"G18"
"G11",0.4428,"G19"
"G11",0.05275,"G20"
"G11",0.4591,"G21"
"G11",0.63045,"G22"
"G11",0.48235,"G23"
"G11",0.69845,"G24"
"G11",0.44645,"G25"
"G11",0.81725,"G26"
"G11",0.2704,"G27"
"G11",0.65515,"G28"
"G11",0.7393,"G29"
"G11",0.20065,"G30"
"G11",0.04445,"G31"
