"x","prob","y"
"G01",0.55415,"G02"
"G01",0.48535,"G03"
"G01",0.5283,"G04"
"G01",0.62005,"G05"
"G01",0.5141,"G06"
"G01",0.4472,"G07"
"G01",0.43775,"G08"
"G01",0.4823,"G09"
"G01",0.64075,"G10"
"G01",0.68975,"G11"
"G01",0.68525,"G12"
"G01",0.40385,"G13"
"G01",0.43275,"G14"
"G01",0.4544,"G15"
"G01",0.7642,"G16"
"G01",0.79665,"G17"
"G01",0.83185,"G18"
"G01",0.5043,"G19"
"G01",0.48825,"G20"
"G01",0.50445,"G21"
"G01",0.6646,"G22"
"G01",0.30245,"G23"
"G01",0.4645,"G24"
"G01",0.5602,"G25"
"G01",0.6954,"G26"
"G01",0.4045,"G27"
"G01",0.426,"G28"
"G01",0.5926,"G29"
"G01",0.41225,"G30"
"G01",0.7576,"G31"
"G01",0.42645,"G32"
"G01",0.51795,"G33"
"G01",0.33225,"G34"
"G01",0.36625,"G35"
"G01",0.438,"G36"
"G01",0.64955,"G37"
"G01",0.6274,"G38"
"G01",0.616,"G39"
"G02",0.43135,"G03"
"G02",0.46365,"G04"
"G02",0.55325,"G05"
"G02",0.4485,"G06"
"G02",0.39145,"G07"
"G02",0.3835,"G08"
"G02",0.42705,"G09"
"G02",0.56735,"G10"
"G02",0.63585,"G11"
"G02",0.62395,"G12"
"G02",0.36405,"G13"
"G02",0.37745,"G14"
"G02",0.39185,"G15"
"G02",0.71145,"G16"
"G02",0.76305,"G17"
"G02",0.81135,"G18"
"G02",0.44155,"G19"
"G02",0.4325,"G20"
"G02",0.4317,"G21"
"G02",0.59635,"G22"
"G02",0.27095,"G23"
"G02",0.40575,"G24"
"G02",0.49685,"G25"
"G02",0.63015,"G26"
"G02",0.35765,"G27"
"G02",0.3669,"G28"
"G02",0.526,"G29"
"G02",0.37615,"G30"
"G02",0.70965,"G31"
"G02",0.3771,"G32"
"G02",0.45335,"G33"
"G02",0.2959,"G34"
"G02",0.3238,"G35"
"G02",0.38235,"G36"
"G02",0.5754,"G37"
"G02",0.56,"G38"
"G02",0.55,"G39"
"G03",0.53215,"G04"
"G03",0.6221,"G05"
"G03",0.5298,"G06"
"G03",0.4599,"G07"
"G03",0.46175,"G08"
"G03",0.502,"G09"
"G03",0.6434,"G10"
"G03",0.6824,"G11"
"G03",0.6887,"G12"
"G03",0.4336,"G13"
"G03",0.4596,"G14"
"G03",0.4702,"G15"
"G03",0.76415,"G16"
"G03",0.79795,"G17"
"G03",0.83195,"G18"
"G03",0.52275,"G19"
"G03",0.51195,"G20"
"G03",0.51815,"G21"
"G03",0.65365,"G22"
"G03",0.3269,"G23"
"G03",0.48785,"G24"
"G03",0.57,"G25"
"G03",0.6975,"G26"
"G03",0.43055,"G27"
"G03",0.45015,"G28"
"G03",0.5978,"G29"
"G03",0.4435,"G30"
"G03",0.75505,"G31"
"G03",0.4572,"G32"
"G03",0.5331,"G33"
"G03",0.3612,"G34"
