"x","prob","y"
"G01",0.5937,"G02"
"G01",0.5115,"G03"
"G01",0.524,"G04"
"G01",0.5662,"G05"
"G01",0.54615,"G06"
"G01",0.5026,"G07"
"G01",0.5423,"G08"
"G01",0.5405,"G09"
"G01",0.56615,"G10"
"G01",0.58635,"G11"
"G01",0.5935,"G12"
"G01",0.52735,"G13"
"G01",0.51475,"G14"
"G01",0.4979,"G15"
"G01",0.5039,"G16"
"G01",0.62525,"G17"
"G01",0.5812,"G18"
"G01",0.52015,"G19"
"G01",0.5172,"G20"
"G01",0.54765,"G21"
"G01",0.5278,"G22"
"G01",0.50085,"G23"
"G01",0.5469,"G24"
"G01",0.5207,"G25"
"G01",0.5347,"G26"
"G01",0.49975,"G27"
"G01",0.5165,"G28"
"G01",0.5675,"G29"
"G01",0.5276,"G30"
"G01",0.5392,"G31"
"G01",0.492,"G32"
"G01",0.5599,"G33"
"G01",0.49355,"G34"
"G01",0.49835,"G35"
"G01",0.5163,"G36"
"G01",0.56355,"G37"
"G01",0.52705,"G38"
"G01",0.52495,"G39"
"G02",0.4276,"G03"
"G02",0.44395,"G04"
"G02",0.4685,"G05"
"G02",0.46235,"G06"
"G02",0.4216,"G07"
"G02",0.4573,"G08"
"G02",0.4545,"G09"
"G02",0.47865,"G10"
"G02",0.4939,"G11"
"G02",0.50735,"G12"
"G02",0.4438,"G13"
"G02",0.4249,"G14"
"G02",0.4151,"G15"
"G02",0.4257,"G16"
"G02",0.54735,"G17"
"G02",0.49735,"G18"
"G02",0.4438,"G19"
"G02",0.42785,"G20"
"G02",0.4669,"G21"
"G02",0.44595,"G22"
"G02",0.4203,"G23"
"G02",0.4699,"G24"
"G02",0.42905,"G25"
"G02",0.45335,"G26"
"G02",0.41915,"G27"
"G02",0.43325,"G28"
"G02",0.4758,"G29"
"G02",0.43705,"G30"
"G02",0.45735,"G31"
"G02",0.4134,"G32"
"G02",0.47905,"G33"
"G02",0.4177,"G34"
"G02",0.42025,"G35"
"G02",0.43165,"G36"
"G02",0.48165,"G37"
"G02",0.43475,"G38"
"G02",0.44165,"G39"
"G03",0.5041,"G04"
"G03",0.5471,"G05"
"G03",0.53065,"G06"
"G03",0.4864,"G07"
"G03",0.52995,"G08"
"G03",0.51945,"G09"
"G03",0.5511,"G10"
"G03",0.5681,"G11"
"G03",0.57855,"G12"
"G03",0.51025,"G13"
"G03",0.49325,"G14"
"G03",0.4866,"G15"
"G03",0.48135,"G16"
"G03",0.61115,"G17"
"G03",0.5694,"G18"
"G03",0.5085,"G19"
"G03",0.49885,"G20"
"G03",0.52435,"G21"
"G03",0.50965,"G22"
"G03",0.4831,"G23"
"G03",0.5325,"G24"
"G03",0.5146,"G25"
"G03",0.5257,"G26"
"G03",0.49115,"G27"
"G03",0.5131,"G28"
"G03",0.54855,"G29"
"G03",0.51265,"G30"
"G03",0.5197,"G31"
"G03",0.4862,"G32"
"G03",0.53945,"G33"
"G03",0.47895,"G34"
"G03",0.48045,"G35"
"G03",0.5031,"G36"
"G03",0.545,"G37"
"G03",0.50685,"G38"
"G03",0.51115,"G39"
"G04",0.5346,"G05"
"G04",0.5336,"G06"
"G04",0.47935,"G07"
"G04",0.5185,"G08"
"G04",0.5173,"G09"
"G04",0.5507,"G10"
"G04",0.55775,"G11"
"G04",0.5716,"G12"
"G04",0.5065,"G13"
"G04",0.484,"G14"
"G04",0.4771,"G15"
"G04",0.48735,"G16"
"G04",0.6048,"G17"
"G04",0.55825,"G18"
"G04",0.50005,"G19"
"G04",0.49465,"G20"
"G04",0.52105,"G21"
"G04",0.5013,"G22"
"G04",0.47885,"G23"
"G04",0.5289,"G24"
"G04",0.49625,"G25"
"G04",0.5123,"G26"
"G04",0.4798,"G27"
"G04",0.4968,"G28"
"G04",0.5313,"G29"
"G04",0.5037,"G30"
"G04",0.51945,"G31"
"G04",0.46745,"G32"
"G04",0.53805,"G33"
"G04",0.47745,"G34"
"G04",0.47765,"G35"
"G04",0.49115,"G36"
"G04",0.5417,"G37"
"G04",0.4957,"G38"
"G04",0.50615,"G39"
"G05",0.49255,"G06"
"G05",0.44355,"G07"
"G05",0.4862,"G08"
"G05",0.4758,"G09"
"G05",0.50235,"G10"
"G05",0.52135,"G11"
"G05",0.5354,"G12"
"G05",0.46645,"G13"
"G05",0.4483,"G14"
"G05",0.4403,"G15"
"G05",0.44305,"G16"
"G05",0.5718,"G17"
"G05",0.52465,"G18"
"G05",0.46465,"G19"
"G05",0.4458,"G20"
"G05",0.4808,"G21"
"G05",0.47045,"G22"
"G05",0.44505,"G23"
"G05",0.48885,"G24"
