"ID","prob"
"G36",0.94545
"G31",0.8225
"G20",0.79905
"G09",0.66595
"G38",0.59905
"G01",0.54605
"G32",0.41945
"G35",0.30895
"G30",0.30675
"G33",0.29535
"G39",0.26395
"G07",0.2235
"G06",0.2122
"G27",0.2069
"G34",0.18765
"G03",0.1846
"G37",0.16625
"G15",0.11065
"G13",0.09075
"G19",0.08515
"G16",0.07035
"G11",0.0661
"G25",0.0633
"G08",0.06145
"G21",0.05635
"G12",0.05485
"G23",0.05065
"G18",0.03085
"G10",0.02965
"G22",0.0154
"G04",0.014
"G28",0.01375
"G24",0.00975
"G14",0.0069
"G02",0.0063
"G29",0.00605
"G26",0.0025
"G05",0.00095
"G17",7e-04
