"ID","prob"
"G23",0.47675
"G34",0.43345
"G35",0.38025
"G08",0.3039
"G27",0.30015
"G13",0.2999
"G36",0.2963
"G30",0.2936
"G07",0.2903
"G28",0.2803
"G14",0.27355
"G32",0.2662
"G15",0.25865
"G03",0.24195
"G24",0.24055
"G20",0.2352
"G09",0.2323
"G06",0.21085
"G21",0.2089
"G19",0.208
"G01",0.2019
"G04",0.20075
"G33",0.1869
"G02",0.1621
"G25",0.14885
"G29",0.13545
"G39",0.1331
"G05",0.12805
"G10",0.1265
"G38",0.12105
"G37",0.1167
"G22",0.0976
"G12",0.09725
"G11",0.09545
"G26",0.0877
"G31",0.06835
"G16",0.06255
"G17",0.0544
"G18",0.0443
