"ID","prob"
"G15",0.23735
"G32",0.23725
"G34",0.2369
"G16",0.2325
"G01",0.2321
"G23",0.23175
"G07",0.23015
"G27",0.22915
"G35",0.22875
"G14",0.2276
"G04",0.22085
"G20",0.2176
"G36",0.2163
"G38",0.2163
"G22",0.21565
"G03",0.21405
"G39",0.21335
"G25",0.2117
"G28",0.2101
"G19",0.20695
"G30",0.2067
"G21",0.2045
"G26",0.20345
"G13",0.20305
"G31",0.20065
"G24",0.20035
"G09",0.19945
"G08",0.19785
"G37",0.18885
"G05",0.1853
"G06",0.18395
"G29",0.1808
"G10",0.1784
"G33",0.17735
"G18",0.1699
"G02",0.1691
"G11",0.1689
"G12",0.1663
"G17",0.1488
